,,,,,,,,,첫날,,,,,,
순위,영화명,개봉일,총 매출액,매출액 점유율, 총 관객수,총 스크린수,총 상영횟수,,첫날 관객수,첫날 매출액,첫날 스크린수,첫날 상영횟수,,마지막 상영날짜 (상영종료일),총 상영 일수 (Days)
43,릴로 & 스티치,2025-05-21,"4,575,367,310",0.4%,"485,327","1,034","29,803",,"18,329","172,679,150",765,"2,070",,2025-06-18,28
44,8번 출구,2025-10-22,"4,402,559,930",0.4%,"450,198",781,"38,786",,"31,965","256,188,210",749,"2,639",,2025-11-19,28
45,악마가 이사왔다,2025-08-13,"4,137,162,810",0.4%,"437,768",974,"32,686",,"48,534","448,363,600",974,"3,754",,2025-09-10,28
46,프레데터: 죽음의 땅,2025-11-05,"4,276,561,360",0.4%,"422,481",953,"41,241",,"34,746","	342,976,290",952,"3,456",,2025-12-03,28
47,컨저링: 마지막 의식,2025-09-03,"4,436,601,090",0.4%,"420,992",917,"27,172",,"39,581","	397,341,310","	843","2,219",,2025-10-01,28
48,서브스턴스,2024-12-11,"3,960,157,440",0.4%,"405,591",344,"24,145",,"9,911","90,976,760",372,549,,2025-01-08,28
49,배드 가이즈 2,2025-07-30,"3,608,720,190",0.3%,"400,013",769,"19,131",,"41,505","353,484,000",618,"1,080",,2025-08-27,28
50,뽀로로 극장판 바닷속 대모험,2025-01-01,"3,372,930,820",0.3%,"397,114",791,"25,721",,"58,882",,731,"1,348",,2025-01-29,28
51,살인자 리포트,2025-09-05,"3,656,329,360",0.3%,"366,298",841,"30,094",,"36,081","347,284,730",749,"2,647",,2025-10-03,28
52,28년 후,2025-06-19,"3,250,361,960",0.3%,"362,321",939,"27,629",,"56,675","506,760,060",910,"3,363",,2025-07-17,28
53,극장판 주술회전: 시부야사변 X 사멸회유,2025-12-03,"3,648,280,490",0.3%,"359,634",756,"22,844",,"52,366","528,175,730",733,1970,,2025-12-31,28
54,수퍼 소닉3,2025-01-01,"3,132,701,470",0.3%,"343,210",882,"24,179",,"75,916","705,207,940",766,1530,,2025-01-29,28
55,콘클라베,2025-03-05,"3,194,209,300",0.3%,"334,923",630,"29,219",,"10,796","94,182,880",566,1081,,2025-04-02,28
56,극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈,2025-12-24,"3,114,817,400",0.3%,"327,390",751,"12,367",,"39,535","372,193,470",747,1652,,2026-01-21,28
57,발레리나,2025-08-06,"3,216,635,670",0.3%,"323,108",757,"21,531",,"43,395","404,159,440",670,2066,,2025-09-03,28
,,,,,,,,,,,,,,,
59,소주전쟁,2025-05-30,"2,641,291,950",0.3%,"283,787","1,040","27,191",,"46,590","464,846,780",1029,3918,,2025-06-27,28
60,브레드이발소: 베이커리타운의 악당들,2025-09-27,"2,494,627,600",0.2%,"282,480",387,"11,594",,"26,349","240,694,800",368,725,,2025-10-25,28
61,긴키 지방의 어느 장소에 대하여,2025-08-13,"2,787,112,910",0.3%,"272,653",438,"12,697",,"14,146","138,286,800",344,553,,2025-09-10,28
62,로비,2025-04-02,"2,469,547,340",0.2%,"262,377","1,013","33,018",,"37,163","337,526,720",1013,3644,,2025-04-30,28
,,,,,,,,,,,,,,,
64,극장판 주술회전: 회옥·옥절,2025-10-16,"2,350,997,670",0.2%,"236,371",742,"21,800",,"32,333","315,389,280",694,2206,,2025-11-13,28
